0	0	0	0	0	0
256	0	0	243	3	0
512	0	0	479	6	0
768	0	0	715	9	0
1024	0	0	951	11	0
1280	0	0	1189	14	0
1536	0	0	1426	16	0
1792	0	0	1661	19	0
2048	0	0	1897	21	0
2303	0	0	2137	24	0
2559	0	0	2381	26	0
2815	0	0	2621	29	0
3071	0	0	2856	31	0
3327	0	0	3092	34	0
3583	0	0	3327	36	0
3839	0	0	3568	39	0
4095	0	0	3803	41	0
0	256	0	4	252	3
256	256	0	250	259	3
512	256	0	488	262	2
768	256	0	728	265	2
1024	256	0	961	267	2
1280	256	0	1200	271	2
1536	256	0	1437	273	2
1792	256	0	1677	277	2
2048	256	0	1916	280	2
2303	256	0	2153	282	2
2559	256	0	2394	282	1
2815	256	0	2637	285	1
3071	256	0	2871	286	1
3327	256	0	3103	287	1
3583	256	0	3344	289	1
3839	256	0	3588	291	1
4095	256	0	3823	293	1
0	512	0	7	498	5
256	512	0	255	506	5
512	512	0	493	509	5
768	512	0	734	514	5
1024	512	0	971	517	5
1280	512	0	1210	521	5
1536	512	0	1448	523	5
1792	512	0	1685	527	4
2048	512	0	1922	529	4
2303	512	0	2157	530	4
2559	512	0	2398	530	4
2815	512	0	2636	530	4
3071	512	0	2872	531	4
3327	512	0	3110	532	4
3583	512	0	3351	534	4
3839	512	0	3592	535	3
4095	512	0	3831	538	3
0	768	0	11	749	8
256	768	0	257	756	8
512	768	0	500	765	8
768	768	0	740	768	9
1024	768	0	976	770	9
1280	768	0	1215	774	7
1536	768	0	1452	776	7
1792	768	0	1690	780	7
2048	768	0	1925	781	7
2303	768	0	2161	782	7
2559	768	0	2402	781	7
2815	768	0	2640	780	7
3071	768	0	2875	781	7
3327	768	0	3116	782	6
3583	768	0	3359	785	6
3839	768	0	3608	788	6
4095	768	0	3839	789	6
0	1024	0	16	998	11
256	1024	0	262	1011	12
512	1024	0	504	1016	11
768	1024	0	745	1020	11
1024	1024	0	980	1023	11
1280	1024	0	1221	1027	11
1536	1024	0	1457	1029	11
1792	1024	0	1694	1032	11
2048	1024	0	1929	1033	11
2303	1024	0	2165	1034	11
2559	1024	0	2408	1033	10
2815	1024	0	2648	1033	10
3071	1024	0	2884	1033	10
3327	1024	0	3129	1036	10
3583	1024	0	3373	1038	10
3839	1024	0	3619	1040	10
4095	1024	0	3851	1041	10
0	1280	0	19	1244	14
256	1280	0	267	1259	14
512	1280	0	508	1263	14
768	1280	0	751	1268	14
1024	1280	0	989	1274	14
1280	1280	0	1227	1275	14
1536	1280	0	1467	1280	14
1792	1280	0	1704	1283	14
2048	1280	0	1938	1282	13
2303	1280	0	2173	1281	13
2559	1280	0	2417	1281	13
2815	1280	0	2658	1281	13
3071	1280	0	2895	1280	13
3327	1280	0	3132	1280	13
3583	1280	0	3381	1284	13
3839	1280	0	3621	1284	13
4095	1280	0	3855	1286	12
0	1536	0	23	1498	17
256	1536	0	271	1512	17
512	1536	0	515	1520	17
768	1536	0	757	1525	17
1024	1536	0	994	1527	17
1280	1536	0	1233	1531	16
1536	1536	0	1470	1532	16
1792	1536	0	1706	1534	16
2048	1536	0	1941	1535	16
2303	1536	0	2179	1535	16
2559	1536	0	2420	1532	16
2815	1536	0	2661	1531	16
3071	1536	0	2903	1535	16
3327	1536	0	3149	1538	15
3583	1536	0	3394	1541	15
3839	1536	0	3637	1541	15
4095	1536	0	3868	1540	15
0	1792	0	27	1749	20
256	1792	0	276	1762	20
512	1792	0	518	1767	19
768	1792	0	760	1774	19
1024	1792	0	998	1781	19
1280	1792	0	1237	1781	19
1536	1792	0	1471	1781	19
1792	1792	0	1708	1783	19
2048	1792	0	1941	1782	19
2303	1792	0	2179	1781	19
2559	1792	0	2424	1781	18
2815	1792	0	2667	1781	18
3071	1792	0	2908	1785	18
3327	1792	0	3149	1784	18
3583	1792	0	3386	1781	18
3839	1792	0	3635	1786	18
4095	1792	0	3873	1788	18
0	2048	0	31	1998	22
256	2048	0	280	2016	22
512	2048	0	522	2023	22
768	2048	0	763	2023	22
1024	2048	0	996	2023	22
1280	2048	0	1233	2021	22
1536	2048	0	1467	2022	22
1792	2048	0	1704	2025	22
2048	2048	0	1941	2030	21
2303	2048	0	2181	2033	21
2559	2048	0	2429	2035	21
2815	2048	0	2670	2034	21
3071	2048	0	2908	2033	21
3327	2048	0	3149	2033	21
3583	2048	0	3398	2039	21
3839	2048	0	3643	2042	21
4095	2048	0	3878	2043	20
0	2303	0	35	2255	25
256	2303	0	282	2266	25
512	2303	0	523	2268	25
768	2303	0	765	2277	25
1024	2303	0	999	2278	25
1280	2303	0	1236	2278	24
1536	2303	0	1472	2280	24
1792	2303	0	1706	2280	24
2048	2303	0	1944	2285	24
2303	2303	0	2184	2289	24
2559	2303	0	2431	2290	24
2815	2303	0	2670	2286	24
3071	2303	0	2909	2287	24
3327	2303	0	3156	2292	23
3583	2303	0	3396	2291	23
3839	2303	0	3635	2287	23
4095	2303	0	3877	2292	23
0	2559	0	39	2510	28
256	2559	0	285	2517	28
512	2559	0	525	2520	27
768	2559	0	766	2526	27
1024	2559	0	1001	2534	27
1280	2559	0	1239	2532	27
1536	2559	0	1474	2534	27
1792	2559	0	1713	2541	27
2048	2559	0	1947	2543	27
2303	2559	0	2189	2546	27
2559	2559	0	2433	2545	26
2815	2559	0	2675	2543	26
3071	2559	0	2920	2549	26
3327	2559	0	3158	2546	26
3583	2559	0	3398	2543	26
3839	2559	0	3649	2551	26
4095	2559	0	3890	2556	26
0	2815	0	42	2761	30
256	2815	0	289	2766	30
512	2815	0	528	2768	30
768	2815	0	769	2775	30
1024	2815	0	1005	2783	30
1280	2815	0	1246	2789	30
1536	2815	0	1480	2789	30
1792	2815	0	1717	2793	30
2048	2815	0	1956	2799	29
2303	2815	0	2197	2803	29
2559	2815	0	2443	2802	29
2815	2815	0	2683	2798	29
3071	2815	0	2922	2796	29
3327	2815	0	3161	2795	29
3583	2815	0	3411	2802	29
3839	2815	0	3658	2806	29
4095	2815	0	3895	2806	28
0	3071	0	47	3014	33
256	3071	0	293	3031	33
512	3071	0	534	3041	33
768	3071	0	773	3043	33
1024	3071	0	1009	3050	33
1280	3071	0	1248	3052	32
1536	3071	0	1485	3058	32
1792	3071	0	1726	3068	32
2048	3071	0	1962	3071	32
2303	3071	0	2200	3068	32
2559	3071	0	2444	3066	32
2815	3071	0	2689	3068	32
3071	3071	0	2930	3070	32
3327	3071	0	3171	3070	31
3583	3071	0	3418	3074	31
3839	3071	0	3664	3077	31
4095	3071	0	3902	3079	31
0	3327	0	51	3279	36
256	3327	0	297	3300	36
512	3327	0	538	3309	36
768	3327	0	779	3316	35
1024	3327	0	1013	3318	35
1280	3327	0	1255	3325	35
1536	3327	0	1491	3330	35
1792	3327	0	1725	3327	35
2048	3327	0	1963	3334	35
2303	3327	0	2204	3335	35
2559	3327	0	2450	3336	35
2815	3327	0	2693	3336	34
3071	3327	0	2934	3336	34
3327	3327	0	3178	3340	34
3583	3327	0	3426	3343	34
3839	3327	0	3670	3347	34
4095	3327	0	3907	3346	34
0	3583	0	54	3520	38
256	3583	0	301	3543	38
512	3583	0	540	3547	38
768	3583	0	782	3557	38
1024	3583	0	1016	3561	38
1280	3583	0	1254	3559	38
1536	3583	0	1489	3564	38
1792	3583	0	1724	3565	38
2048	3583	0	1965	3576	37
2303	3583	0	2204	3575	37
2559	3583	0	2451	3576	37
2815	3583	0	2694	3577	37
3071	3583	0	2936	3576	37
3327	3583	0	3180	3581	37
3583	3583	0	3426	3582	37
3839	3583	0	3666	3580	37
4095	3583	0	3906	3583	36
