3000	1	0.6182	0.2346
3050	1	0.6296	0.2444
3100	1	0.6398	0.2562
3150	1	0.6516	0.2671
3200	1	0.6609	0.2785
3250	1	0.6731	0.2903
3300	1	0.6764	0.2983
3350	1	0.6856	0.3087
3400	1	0.6934	0.3189
3450	1	0.7029	0.3307
3500	1	0.709	0.3412
3550	1	0.7214	0.3534
3600	1	0.7263	0.3646
3650	1	0.7341	0.373
3700	1	0.7416	0.3861
3750	1	0.7494	0.3987
3800	1	0.7554	0.408
3850	1	0.7615	0.4217
3900	1	0.7705	0.4343
3950	1	0.7751	0.4435
4000	1	0.7843	0.455
4050	1	0.7901	0.4673
4100	1	0.797	0.4811
4150	1	0.7879	0.485
4200	1	0.8072	0.5041
4250	1	0.8134	0.5157
4300	1	0.8251	0.5211
4350	1	0.8276	0.5399
4400	1	0.825	0.5486
4450	1	0.8328	0.5597
4500	1	0.8402	0.5701
4550	1	0.8435	0.5829
4600	1	0.8513	0.5953
4650	1	0.8532	0.6064
4700	1	0.8616	0.6206
4750	1	0.8622	0.6296
4800	1	0.8771	0.6523
4850	1	0.871	0.6534
4900	1	0.8746	0.6631
4950	1	0.8776	0.6756
5000	1	0.882	0.6872
5050	1	0.8847	0.6959
5100	1	0.8922	0.7132
5150	1	0.8922	0.7131
5200	1	0.9021	0.7417
5250	1	0.906	0.7531
5300	1	0.9057	0.7635
5350	1	0.9125	0.7727
5400	1	0.9149	0.7849
5450	1	0.9233	0.7961
5500	1	0.9277	0.8031
5550	1	0.9288	0.807
5600	1	0.935	0.8142
5650	1	0.9458	0.8271
5700	1	0.9606	0.8352
5750	1	0.9301	0.8533
5800	1	0.9341	0.8653
5850	1	0.9402	0.8773
5900	1	0.9401	0.8863
5950	1	0.9447	0.8959
6000	1	0.943	0.9043
6050	1	0.9488	0.9147
6100	1	0.9432	0.919
6150	1	0.9565	0.9318
6200	1	0.9593	0.9409
6250	1	0.9644	0.9419
6300	1	0.9661	0.955
6350	1	0.967	0.9638
6400	1	0.9706	0.9733
6450	1	0.974	0.9827
6500	1	0.9748	0.9894
6550	1	0.98	1
6600	1	0.9714	1
6650	1	0.9711	1
6700	0.9789	0.9612	1
6750	0.9687	0.9491	1
6800	0.9632	0.9513	1
6850	0.9555	0.942	1
6900	0.9439	0.9381	1
6950	0.9392	0.9322	1
7000	0.9198	0.9166	1
7050	0.9148	0.9106	1
7100	0.9053	0.9064	1
7150	0.899	0.9003	1
7200	0.8959	0.8991	1
7250	0.8836	0.8922	1
7300	0.8786	0.8854	1
7350	0.8733	0.8808	1
7400	0.8665	0.8738	1
7450	0.8624	0.8724	1
7500	0.8593	0.8697	1
7550	0.8502	0.869	1
7600	0.8496	0.8624	1
7650	0.842	0.8589	1
7700	0.8376	0.8544	1
7750	0.8282	0.8503	1
7800	0.8279	0.848	1
7850	0.8223	0.845	1
7900	0.8166	0.8431	1
7950	0.8123	0.8371	1
8000	0.8073	0.8339	1
